accid,lighttreatment,lightintensity,curve_type,loggcl,logitfgmax,loglambdamean,loglambdasd,logtaumean,logtausd
LA0107-C,shade,low,amphi,3.076997492425851,-2.250582849761447,0.23870756108,0.011209986744971394,5.1809155862,0.006959886365426462
LA0107-C,shade,high,amphi,3.076997492425851,-1.7837248804323964,0.26403481511,0.028732685312406418,5.371705777,0.020750866116570645
LA0107-C,shade,low,pseudohypo,3.0142096889952903,-3.3003281950568177,-0.018209827059489,0.009843381184225336,4.6044484267,0.0077421004373218255
LA0107-C,shade,high,pseudohypo,3.0142096889952903,-1.9905507594306733,0.2363982008,0.03778631551630775,5.5986336125,0.02763890530039744
LA0107-E,shade,low,amphi,3.0573233918242493,-2.4248497617945586,0.39307082619,0.016543372761513447,4.9733025201,0.011975889432500839
LA0107-E,shade,high,amphi,3.0573233918242493,-1.8668756719869115,0.49501571575,0.022470557706277886,5.4424131922,0.010775439202553503
LA0107-E,shade,low,pseudohypo,3.012497983471436,-2.020512034384661,0.41411675338,0.01730592009643424,5.096631358,0.01205770194616698
LA0107-E,shade,high,pseudohypo,3.012497983471436,-1.3052287880720042,0.51482195963,0.021182803403218403,5.8461526399,0.010974278184524454
LA0107-I,shade,low,amphi,3.0487974426580444,-2.9362960684755275,-0.20750930831,0.01477291400177952,4.9394602709,0.014547717101029103
LA0107-I,shade,high,amphi,3.0487974426580444,-1.9709303151348172,0.16487695327,0.007826126270906312,4.9492391586,0.0055893009055246416
LA0107-I,shade,low,pseudohypo,3.0251240861179016,-2.6112497222148625,-0.039685240610498,0.022152135309625644,4.6935647197,0.016538653187678998
LA0107-I,shade,high,pseudohypo,3.0251240861179016,-2.059781345718659,0.081482804488,0.007681799220299437,4.5053159191,0.0056231395206249165
LA0107-J,sun,low,amphi,3.1745205827731717,-2.9421539264050707,0.143958025337,0.011909363390566422,4.5814026511,0.00919231168607184
LA0107-J,sun,high,amphi,3.1745205827731717,-1.8736850636322806,0.21240040174,0.026096269201254588,5.8936893386,0.01889768496499678
LA0107-J,sun,low,pseudohypo,3.061808246881836,-2.887319384297393,0.03156161241144,0.012753522164299223,5.1972483441,0.01238104239985196
LA0107-J,sun,high,pseudohypo,3.061808246881836,-2.0364388892818934,0.22059385876,0.006763891051915872,4.5807724148,0.004132309486787704
LA0107-K,sun,low,amphi,3.125662441514155,-2.2265806414394187,0.2099999898,0.01530270963252537,4.6466198013,0.009520596385212365
LA0107-K,sun,high,amphi,3.125662441514155,-1.7042542466531796,0.13025520072,0.006544560186065909,4.9746871583,0.004495811349171416
LA0107-K,sun,low,pseudohypo,2.9759186598205076,-2.7593551328581563,-0.0427498756859,0.010328069365143319,4.7373662525,0.013601553447694273
LA0107-K,sun,high,pseudohypo,2.9759186598205076,-1.579850140968415,0.21070970691,0.012300753087540361,5.3310696085,0.008339076896531425
LA0107-L,sun,low,amphi,3.027389736335211,-2.9599029159353454,0.072094804565,0.005099832496832286,5.1382462441,0.004094640435290929
LA0107-L,sun,high,amphi,3.027389736335211,-1.8901434816493816,0.54605305821,0.014631084293248952,5.78778211,0.006404010674064596
LA0107-L,sun,low,pseudohypo,2.9548963898982645,-3.063720753553533,0.098653973519,0.01372905398540426,5.5095155596,0.009990887511575576
LA0107-L,sun,high,pseudohypo,2.9548963898982645,-2.0634828630424753,0.34244010288,0.013345809188063594,5.6180268744,0.008020180635437689
LA0107-M,shade,low,amphi,3.063595784534159,-1.8263819416156217,-0.02764149118152,0.03222560127649725,5.7524093328,0.03755608639587436
LA0107-M,shade,high,amphi,3.063595784534159,-1.6391279134502386,-0.00539385729216,0.03747233573528829,5.3813655049,0.030151595724537402
LA0107-M,shade,low,pseudohypo,3.0358962491325125,-2.31975071258047,0.10039120953926,0.039941837129308225,5.4333413609,0.03168122247002628
LA0107-M,shade,high,pseudohypo,3.0358962491325125,-2.1285513537983713,-0.078274536973,0.009041325358873096,5.9415759074,0.010439539306771295
LA0107-N,shade,low,amphi,3.051834247007995,-1.965842764439848,0.0917023143898,0.03386128614786325,5.6468860738,0.02486159654918704
LA0107-N,shade,high,amphi,3.051834247007995,-1.5877725664104778,0.19962207209,0.016848358237202102,5.2015765288,0.011197385334366986
LA0107-N,shade,low,pseudohypo,3.0060495211216653,-1.571184151200366,0.05420391541843,0.04244694987088589,5.6452892856,0.03529108972506539
LA0107-N,shade,high,pseudohypo,3.0060495211216653,-1.1930489396097816,0.03685530157399,0.02073441414586536,5.2013722553,0.016044857846419968
LA0107-P,shade,low,amphi,2.8771371696770003,-2.5039972046361942,0.18783995469,0.011019241105088225,5.3316505825,0.00862580189709176
LA0107-P,shade,high,amphi,2.8771371696770003,-1.5034160403216767,0.43613009618,0.07876336923125289,6.1928916746,0.05972601072491721
LA0107-P,shade,low,pseudohypo,2.8486860827044302,-2.046985882654671,0.16504002507,0.00424898680549953,5.2109331967,0.004373620565397641
