accession,light_treatment,leaf_type,light_intensity,n_plant,trait,estimate,lowerCI,upperCI
LA0107,shade,amphi,high,8,fgmax,0.13726798279353966,0.11783532543621894,0.15878425941560456
LA0107,shade,amphi,low,8,fgmax,0.0770885945473222,0.06326299135870529,0.09410406308019051
LA0107,shade,pseudohypo,high,8,fgmax,0.08809279133095041,0.07834392691006821,0.09994362800488758
LA0107,shade,pseudohypo,low,8,fgmax,0.04864847226074652,0.040550412980362986,0.05835066816965062
LA0107,sun,amphi,high,9,fgmax,0.1348709021421583,0.11622434442375185,0.15606174468385223
LA0107,sun,amphi,low,9,fgmax,0.05594569765094503,0.04632285684247783,0.06796730636649531
LA0107,sun,pseudohypo,high,9,fgmax,0.06874102509704869,0.06066992073639135,0.07796934783518664
LA0107,sun,pseudohypo,low,9,fgmax,0.02956321665482914,0.024830507057665274,0.035350508108274926
LA0407,shade,amphi,high,10,fgmax,0.09585590928581318,0.08400790133925193,0.10998739397325134
LA0407,shade,amphi,low,10,fgmax,0.05198179540818816,0.04260877864319979,0.06160537637107585
LA0407,shade,pseudohypo,high,10,fgmax,0.06084656021925946,0.054085541469273156,0.06839945480996122
LA0407,shade,pseudohypo,low,10,fgmax,0.03436203337728245,0.028502898418037617,0.04111108373235711
LA0407,sun,amphi,high,8,fgmax,0.09426311152555708,0.08289853740288748,0.10817468950316733
LA0407,sun,amphi,low,8,fgmax,0.03782154046840605,0.030936907263387485,0.045378190900210794
LA0407,sun,pseudohypo,high,8,fgmax,0.04759246921643522,0.0422700715590889,0.05331421608930009
LA0407,sun,pseudohypo,low,8,fgmax,0.021125062852015257,0.01724083878513544,0.02488318597877657
LA0429,shade,amphi,high,11,fgmax,0.1261147136403144,0.11433606641450172,0.13740860565812446
LA0429,shade,amphi,low,11,fgmax,0.07149644001655421,0.06376259453327447,0.08008264914828937
LA0429,shade,pseudohypo,high,11,fgmax,0.07595580777223909,0.07063041471665561,0.08189967499057786
LA0429,shade,pseudohypo,low,11,fgmax,0.043903253062277096,0.03942212283431021,0.04911833489427557
LA0429,sun,amphi,high,10,fgmax,0.12388407614980694,0.11277810490626398,0.1349526001091439
LA0429,sun,amphi,low,10,fgmax,0.05174716639437788,0.04614394517263866,0.05909789847505676
LA0429,sun,pseudohypo,high,10,fgmax,0.05946162265058905,0.054997113689468705,0.06420126779150317
LA0429,sun,pseudohypo,low,10,fgmax,0.026872313616131942,0.023875900310165926,0.029976029039286572
LA0436,shade,amphi,high,8,fgmax,0.12324141865506749,0.11239035211302249,0.13415972751691407
LA0436,shade,amphi,low,8,fgmax,0.07174835305809482,0.06408412744382816,0.08033220166230831
LA0436,shade,pseudohypo,high,8,fgmax,0.07505492688670827,0.06941986557166681,0.08086748629009231
LA0436,shade,pseudohypo,low,8,fgmax,0.04416187803284049,0.03973188482222547,0.04920392479054282
LA0436,sun,amphi,high,10,fgmax,0.12095589679201073,0.11055337983918302,0.13162185467057444
LA0436,sun,amphi,low,8,fgmax,0.052224818416053954,0.04647067661441087,0.05860407986224932
LA0436,sun,pseudohypo,high,10,fgmax,0.05874140423535059,0.05420768803128543,0.06328522040544075
LA0436,sun,pseudohypo,low,8,fgmax,0.026948670363652494,0.024105474796631807,0.030026927254490327
LA0444,shade,amphi,high,9,fgmax,0.1359530464566102,0.11759955947329609,0.1569100857373986
LA0444,shade,amphi,low,10,fgmax,0.06570771419074317,0.054491790646406114,0.08015714869102193
LA0444,shade,pseudohypo,high,9,fgmax,0.08559665612994212,0.07551043091163981,0.09645901197891095
LA0444,shade,pseudohypo,low,10,fgmax,0.043926176191474084,0.0366832861962992,0.05215575368974664
LA0444,sun,amphi,high,10,fgmax,0.13391595514019672,0.11547077971592899,0.1541534410980239
LA0444,sun,amphi,low,9,fgmax,0.04780014844240043,0.039649492082838994,0.05746932445345857
LA0444,sun,pseudohypo,high,10,fgmax,0.06670547146269157,0.05891597831036376,0.07557965082580141
LA0444,sun,pseudohypo,low,9,fgmax,0.026827251529218308,0.02246640911548818,0.0316938090731148
LA0716,shade,amphi,high,9,fgmax,0.1594143032252756,0.14090632050397872,0.18121292570583306
LA0716,shade,amphi,low,10,fgmax,0.07871692181205109,0.06697692914564236,0.09289588631765296
LA0716,shade,pseudohypo,high,9,fgmax,0.06723046237599511,0.05989383869505509,0.0750732700639095
LA0716,shade,pseudohypo,low,10,fgmax,0.03670125347032851,0.031126811207023666,0.04313850410420739
LA0716,sun,amphi,high,10,fgmax,0.15657742107071915,0.13787556941919993,0.1779128565317398
LA0716,sun,amphi,low,9,fgmax,0.057418852144860234,0.048487437752565754,0.0678808549279254
LA0716,sun,pseudohypo,high,10,fgmax,0.05258651031600727,0.04691352115648628,0.05886439724914835
LA0716,sun,pseudohypo,low,9,fgmax,0.022359404912064507,0.0190906843266175,0.026362507768429983
LA0750,shade,amphi,high,9,fgmax,0.1659388461810423,0.1456540612995669,0.1889462276861723
LA0750,shade,amphi,low,10,fgmax,0.07884162291426369,0.06718621155163043,0.0935666593481078
LA0750,shade,pseudohypo,high,9,fgmax,0.06956627177727147,0.06214541828602051,0.0774318694989544
LA0750,shade,pseudohypo,low,10,fgmax,0.0391073086485793,0.03316009620443038,0.0454496904414973
LA0750,sun,amphi,high,11,fgmax,0.16316864366792844,0.14321461169353247,0.1853310330180134
LA0750,sun,amphi,low,9,fgmax,0.05733187274724761,0.04814375531328889,0.06795450274619162
