accession,lighttreatment,lightintensity,leaftype,n_plant,trait,estimate,lowerCI,upperCI
LA0107,shade,low,amphi,8,tau,167.4559204291936,149.84250178465444,186.7965847604391
LA0107,shade,low,amphi,8,lambda,1.1426435760931482,1.0939403635753182,1.1927662146991658
LA0107,shade,low,amphi,8,gcl,19.26086883010733,18.7569019103242,19.77677610076006
LA0107,shade,low,amphi,8,fgmax,0.07498820661485364,0.06356657016851049,0.08850793861531245
LA0107,shade,high,amphi,8,tau,231.6281491398149,206.7889241060824,258.7836440425357
LA0107,shade,high,amphi,8,lambda,1.2632647504611771,1.2072394658901024,1.3193238714044766
LA0107,shade,high,amphi,8,gcl,19.26086883010733,18.7569019103242,19.77677610076006
LA0107,shade,high,amphi,8,fgmax,0.15881214443608851,0.13667287129821448,0.1839240702827799
LA0107,shade,low,pseudohypo,8,tau,169.57148442863726,151.5577077218433,189.59701323024072
LA0107,shade,low,pseudohypo,8,lambda,1.1195079857670027,1.0705182735690146,1.1690598861169044
LA0107,shade,low,pseudohypo,8,gcl,18.137254822372707,17.661307244524316,18.621281504636777
LA0107,shade,low,pseudohypo,8,fgmax,0.09093959366188653,0.07725696805227046,0.1067188866476293
LA0107,shade,high,pseudohypo,8,tau,234.7886346367666,209.5642168583689,262.25199510311523
LA0107,shade,high,pseudohypo,8,lambda,1.237080302150553,1.1826899152460761,1.2918271772735999
LA0107,shade,high,pseudohypo,8,gcl,18.137254822372707,17.661307244524316,18.621281504636777
LA0107,shade,high,pseudohypo,8,fgmax,0.18864925934959217,0.16312243679163058,0.21799747281573495
LA0107,sun,low,amphi,9,tau,167.63717036101042,149.99571434015297,187.017013289829
LA0107,sun,low,amphi,9,lambda,1.2438466650897386,1.1926178621385448,1.2989096457797673
LA0107,sun,low,amphi,9,gcl,21.588023654925877,21.008655356558332,22.15911344097376
LA0107,sun,low,amphi,9,fgmax,0.057771891390818696,0.048859418039392186,0.06818494387890199
LA0107,sun,high,amphi,9,tau,231.78820604009778,207.18346159662374,258.2833221953355
LA0107,sun,high,amphi,9,lambda,1.375192693921414,1.317290272794626,1.4365232222911972
LA0107,sun,high,amphi,9,gcl,21.588023654925877,21.008655356558332,22.15911344097376
LA0107,sun,high,amphi,9,fgmax,0.12488126635667998,0.1071436808549156,0.14550228858920727
LA0107,sun,low,pseudohypo,9,tau,169.68018491385,151.67521314318873,189.7257817905711
LA0107,sun,low,pseudohypo,9,lambda,1.2186596505538096,1.1678107428946203,1.272399614911697
LA0107,sun,low,pseudohypo,9,gcl,20.33074421074977,19.785661942239514,20.857230539649816
LA0107,sun,low,pseudohypo,9,fgmax,0.07022078977972794,0.05960783758874222,0.0825532857637729
LA0107,sun,high,pseudohypo,9,tau,234.88696385645642,210.04043935141212,261.85559700180784
LA0107,sun,high,pseudohypo,9,lambda,1.347236958985809,1.2898938002091684,1.4078796808890992
LA0107,sun,high,pseudohypo,9,gcl,20.33074421074977,19.785661942239514,20.857230539649816
LA0107,sun,high,pseudohypo,9,fgmax,0.14963474998819,0.12872706210878743,0.17329662974265103
LA0407,sun,low,amphi,7,tau,126.59144817818829,113.01509712535596,141.49772980678136
LA0407,sun,low,amphi,7,lambda,1.2116029104483923,1.1598507017401731,1.265503883223332
LA0407,sun,low,amphi,7,gcl,18.445322568083373,18.001033843832214,18.913974762720116
LA0407,sun,low,amphi,7,fgmax,0.03965152926515338,0.03301720451596416,0.047380955031913384
LA0407,sun,high,amphi,7,tau,174.9936868301466,156.45445049877486,195.40473420210614
LA0407,sun,high,amphi,7,lambda,1.338882143206376,1.2826533904837063,1.3986462386300258
LA0407,sun,high,amphi,7,gcl,18.445322568083373,18.001033843832214,18.913974762720116
LA0407,sun,high,amphi,7,fgmax,0.0877890741488133,0.0737364324031449,0.10373219745210949
LA0407,sun,low,pseudohypo,7,tau,128.33017102949958,114.63941149121514,143.22742641654133
LA0407,sun,low,pseudohypo,7,lambda,1.186664396851557,1.1355650413957614,1.2395550368138832
LA0407,sun,low,pseudohypo,7,gcl,17.37225584327875,16.952279220963142,17.813369644153074
LA0407,sun,low,pseudohypo,7,fgmax,0.04843787611682312,0.04031911529988044,0.057950632812156504
LA0407,sun,high,pseudohypo,7,tau,177.38788548854808,158.4129572927135,197.84112106099997
LA0407,sun,high,pseudohypo,7,lambda,1.3120079917284748,1.257116822943816,1.3707063410419795
LA0407,sun,high,pseudohypo,7,gcl,17.37225584327875,16.952279220963142,17.813369644153074
LA0407,sun,high,pseudohypo,7,fgmax,0.10603169240972912,0.08924688224055963,0.12503305364694084
LA0407,shade,low,amphi,10,tau,126.41354874429832,113.09619040756945,140.86715923766207
LA0407,shade,low,amphi,10,lambda,1.112614018559898,1.064867787847641,1.1603528410607045
LA0407,shade,low,amphi,10,gcl,16.461161778763085,16.06255043824965,16.876254329782743
LA0407,shade,low,amphi,10,fgmax,0.05176997339076823,0.04323316501098763,0.06177545265350199
LA0407,shade,high,amphi,10,tau,174.82170237928833,156.23941899999488,194.57054626289855
LA0407,shade,high,amphi,10,lambda,1.2294125553486537,1.1780569165175467,1.2825665702630067
LA0407,shade,high,amphi,10,gcl,16.461161778763085,16.06255043824965,16.876254329782743
LA0407,shade,high,amphi,10,fgmax,0.11280658857908174,0.09521890139866884,0.13307915523579872
LA0407,shade,low,pseudohypo,10,tau,128.0247998738363,114.5206345273433,142.8017486172688
LA0407,shade,low,pseudohypo,10,lambda,1.089549641291625,1.0436270036398476,1.137549340609568
LA0407,shade,low,pseudohypo,10,gcl,15.502658742662746,15.135933930981667,15.891254058908713
LA0407,shade,low,pseudohypo,10,fgmax,0.06306432423754317,0.0528405770858974,0.07521453290838606
LA0407,shade,high,pseudohypo,10,tau,177.0626720787258,158.34563168538088,197.11033577840442
LA0407,shade,high,pseudohypo,10,lambda,1.2041368600786146,1.1548579446484197,1.257269600489753
LA0407,shade,high,pseudohypo,10,gcl,15.502658742662746,15.135933930981667,15.891254058908713
LA0407,shade,high,pseudohypo,10,fgmax,0.13549926803093185,0.1145734525106132,0.15893558099076968
LA0429,shade,low,amphi,10,tau,123.68750380192202,113.78447029742674,136.19229726342277
LA0429,shade,low,amphi,10,lambda,1.0808055833619572,1.0400195893767914,1.1203041018615578
LA0429,shade,low,amphi,10,gcl,17.339117089578043,16.95635657417955,17.73461398196383
LA0429,shade,low,amphi,10,fgmax,0.06303640072520722,0.0539632248599245,0.07322190206895268
LA0429,shade,high,amphi,10,tau,171.04286956872676,157.42400727156365,188.46119114561614
LA0429,shade,high,amphi,10,lambda,1.194871605003282,1.149339942230103,1.2380306816633644
LA0429,shade,high,amphi,10,gcl,17.339117089578043,16.95635657417955,17.73461398196383
LA0429,shade,high,amphi,10,fgmax,0.13544279132021958,0.11752076436849676,0.15549100224531387
LA0429,shade,low,pseudohypo,10,tau,125.36058212083435,115.22515591967388,137.93486058521594
LA0429,shade,low,pseudohypo,10,lambda,1.0586147519245004,1.0186627571513438,1.0970898867868437
LA0429,shade,low,pseudohypo,10,gcl,16.324223966105336,15.965074297423419,16.69874751435977
LA0429,shade,low,pseudohypo,10,fgmax,0.0764939725381157,0.06568695688925393,0.0885620493981297
LA0429,shade,high,pseudohypo,10,tau,173.3430319980832,159.1899808184205,190.75287230215875
LA0429,shade,high,pseudohypo,10,lambda,1.1703293952660132,1.1251691759412612,1.2127361759981707
LA0429,shade,high,pseudohypo,10,gcl,16.324223966105336,15.965074297423419,16.69874751435977
LA0429,shade,high,pseudohypo,10,fgmax,0.16189897588380722,0.1406769997216903,0.18454703360801833
LA0429,sun,low,amphi,10,tau,123.95030543852121,113.7932715984197,136.58359786860902
LA0429,sun,low,amphi,10,lambda,1.1772678500948333,1.1344683240916453,1.2196273719305366
LA0429,sun,low,amphi,10,gcl,19.43011958445295,19.001624708798897,19.8673187937705
LA0429,sun,low,amphi,10,fgmax,0.048497126450834906,0.04151691294402538,0.05629795453961142
LA0429,sun,high,amphi,10,tau,171.30418256697513,157.74580692653947,188.94859860179074
LA0429,sun,high,amphi,10,lambda,1.3012193264246714,1.2520872279289503,1.346262683306365
LA0429,sun,high,amphi,10,gcl,19.43011958445295,19.001624708798897,19.8673187937705
LA0429,sun,high,amphi,10,fgmax,0.10603561517313266,0.09160173583038415,0.12198735991736671
LA0429,sun,low,pseudohypo,10,tau,125.50055242203958,115.22293087044544,138.33869817094148
LA0429,sun,low,pseudohypo,10,lambda,1.1535180174403161,1.1112239464344342,1.193884582785874
LA0429,sun,low,pseudohypo,10,gcl,18.294741701649095,17.884847599685173,18.714584418643135
LA0429,sun,low,pseudohypo,10,fgmax,0.05910193277431909,0.050696665621102144,0.06859130598154825
LA0429,sun,high,pseudohypo,10,tau,173.5681173563121,159.71913386543622,191.29002339097207
LA0429,sun,high,pseudohypo,10,lambda,1.274632058207699,1.2270415998899018,1.3184328155266114
LA0429,sun,high,pseudohypo,10,gcl,18.294741701649095,17.884847599685173,18.714584418643135
LA0429,sun,high,pseudohypo,10,fgmax,0.12765190873842905,0.11063013671742139,0.14635173579730618
LA0436,shade,low,amphi,8,tau,117.2506017988321,106.77785184721576,128.05625281612532
LA0436,shade,low,amphi,8,lambda,1.090359471137496,1.0496005351486177,1.138613189999611
LA0436,shade,low,amphi,8,gcl,17.596262068215573,17.18475274310865,17.98729234785977
LA0436,shade,low,amphi,8,fgmax,0.05609523990899758,0.0469509363269516,0.06681438437373238
LA0436,shade,high,amphi,8,tau,162.05305696168094,147.7716312218528,177.55281750457394
LA0436,shade,high,amphi,8,lambda,1.2051698664292656,1.160550330715808,1.2581081665237792
LA0436,shade,high,amphi,8,gcl,17.596262068215573,17.18475274310865,17.98729234785977
LA0436,shade,high,amphi,8,fgmax,0.12153492174768349,0.10307920955090712,0.14248317878020164
LA0436,shade,low,pseudohypo,8,tau,118.75834744311489,108.23553096323015,129.79600490347974
LA0436,shade,low,pseudohypo,8,lambda,1.068097208135282,1.0284916101036579,1.1153742390791492
LA0436,shade,low,pseudohypo,8,gcl,16.56836439905375,16.17564782023496,16.94618046397714
LA0436,shade,low,pseudohypo,8,fgmax,0.06824821177155177,0.057382666334032356,0.08084491511906236
LA0436,shade,high,pseudohypo,8,tau,164.17025789003404,149.700367865187,179.63956282188718
LA0436,shade,high,pseudohypo,8,lambda,1.180526953156396,1.1364680957211677,1.233124908837381
LA0436,shade,high,pseudohypo,8,gcl,16.56836439905375,16.17564782023496,16.94618046397714
LA0436,shade,high,pseudohypo,8,fgmax,0.14566890746083824,0.12421393608246374,0.16988288863055434
LA0436,sun,low,amphi,8,tau,117.39598531739489,107.10660097106451,128.19976424095438
LA0436,sun,low,amphi,8,lambda,1.18722496833474,1.1437558389032485,1.2404063167293629
LA0436,sun,low,amphi,8,gcl,19.718277874859066,19.263222001960212,20.16366708663164
LA0436,sun,low,amphi,8,fgmax,0.04308540093380996,0.03609246249842268,0.05127180705877992
LA0436,sun,high,amphi,10,tau,162.39831071492426,147.8313763489322,177.57004984723383
LA0436,sun,high,amphi,10,lambda,1.312743286891752,1.2649930641455167,1.3696591997607885
LA0436,sun,high,amphi,10,gcl,19.718277874859066,19.263222001960212,20.16366708663164
LA0436,sun,high,amphi,10,fgmax,0.09492059218195509,0.08027149214147644,0.11143688433709416
LA0436,sun,low,pseudohypo,8,tau,118.93534865358528,108.45547847699665,129.9401259285208
LA0436,sun,low,pseudohypo,8,lambda,1.1633220635123898,1.1205323857519267,1.2150058290512369
LA0436,sun,low,pseudohypo,8,gcl,18.5719772370996,18.124312343009812,18.988647518501026
